round,date,match,venue
Thu 5 Mar 7:30pm,"Sydney
v 
Carlton",SCG,40372
Fri 6 Mar 7:05pm,"Gold Coast
v 
Geelong",People First Stadium,19859
Sat 7 Mar 4:15pm,"GWS
v 
Hawthorn",ENGIE Stadium,16157
Sat 7 Mar 6:35pm,"Brisbane
v 
Western Bulldogs",Gabba,31606
Sun 8 Mar 7:20pm,"St Kilda
v 
Collingwood",MCG,82528
,Adelaide,BYE,
,Essendon,BYE,
,Fremantle,BYE,
,Melbourne,BYE,
,North Melbourne,BYE,
,Port Adelaide,BYE,
,Richmond,BYE,
,West Coast,BYE,
Thu 12 Mar 7:30pm,"Carlton
v 
Richmond",MCG,74313
Fri 13 Mar 7:40pm,"Essendon
v 
Hawthorn",MCG,71384
Sat 14 Mar 1:15pm,"Western Bulldogs
v 
GWS",Marvel Stadium,28318
Sat 14 Mar 4:15pm,"Geelong
v 
Fremantle",GMHBA Stadium,28715
Sat 14 Mar 7:10pm,"Sydney
v 
Brisbane",SCG,38128
Sat 14 Mar 7:35pm,"Collingwood
v 
Adelaide",MCG,62482
Sun 15 Mar 1:10pm,"North Melbourne
v 
Port Adelaide",Marvel Stadium,23318
Sun 15 Mar 3:15pm,"Melbourne
v 
St Kilda",MCG,44577
Sun 15 Mar 5:10pm,"Gold Coast
v 
West Coast",People First Stadium,13309
Thu 19 Mar 7:30pm,"Hawthorn
v 
Sydney",MCG,47945
Fri 20 Mar 7:10pm,"Adelaide
v 
Western Bulldogs",Adelaide Oval,49185
Sat 21 Mar 1:15pm,"Richmond
v 
Gold Coast",MCG,30468
Sat 21 Mar 4:15pm,"GWS
v 
St Kilda",ENGIE Stadium,9149
Sat 21 Mar 4:35pm,"Fremantle
v 
Melbourne",Optus Stadium,44736
Sun 22 Mar 2:45pm,"Port Adelaide
v 
Essendon",Adelaide Oval,36049
Sun 22 Mar 3:10pm,"West Coast
v 
North Melbourne",Optus Stadium,47083
,Carlton,BYE,
,Collingwood,BYE,
,Geelong,BYE,
,Brisbane,BYE,
Thu 26 Mar 7:30pm,"Geelong
v 
Adelaide",GMHBA Stadium,20403
Fri 27 Mar 7:40pm,"Collingwood
v 
GWS",Marvel Stadium,41607
Sat 28 Mar 12:35pm,"St Kilda
v 
Brisbane",Marvel Stadium,31854
Sat 28 Mar 1:15pm,"Fremantle
v 
Richmond",Optus Stadium,35245
Sat 28 Mar 7:35pm,"Essendon
v 
North Melbourne",Marvel Stadium,40154
Sun 29 Mar 12:00pm,"Port Adelaide
v 
West Coast",Adelaide Oval,33754
Sun 29 Mar 3:15pm,"Carlton
v 
Melbourne",MCG,67763
,Western Bulldogs,BYE,
,Hawthorn,BYE,
,Sydney,BYE,
,Gold Coast,BYE,
Thu 2 Apr 6:30pm,"Brisbane
v 
Collingwood",Gabba,
Fri 3 Apr 3:15pm,"North Melbourne
v 
Carlton",Marvel Stadium,
Fri 3 Apr 6:45pm,"Adelaide
v 
Fremantle",Adelaide Oval,
Sat 4 Apr 4:15pm,"Richmond
v 
Port Adelaide",MCG,
Sat 4 Apr 4:35pm,"West Coast
v 
Sydney",Optus Stadium,
Sun 5 Apr 3:15pm,"Melbourne
v 
Gold Coast",MCG,
Sun 5 Apr 7:20pm,"Western Bulldogs
v 
Essendon",Marvel Stadium,
Mon 6 Apr 3:15pm,"Hawthorn
v 
Geelong",MCG,
,St Kilda,BYE,
,GWS,BYE,
Thu 9 Apr 7:10pm,"Adelaide
v 
Carlton",Adelaide Oval,
Fri 10 Apr 7:10pm,"Collingwood
v 
Fremantle",Adelaide Oval,
Sat 11 Apr 12:05pm,"North Melbourne
v 
Brisbane",Barossa Park,
Sat 11 Apr 12:45pm,"Essendon
v 
Melbourne",Adelaide Oval,
Sat 11 Apr 3:45pm,"Sydney
v 
Gold Coast",Norwood Oval,
Sat 11 Apr 7:05pm,"Hawthorn
v 
Western Bulldogs",Adelaide Oval,
Sun 12 Apr 12:00pm,"Geelong
v 
West Coast",Norwood Oval,
Sun 12 Apr 2:45pm,"GWS
v 
Richmond",Barossa Park,
Sun 12 Apr 6:45pm,"Port Adelaide
v 
St Kilda",Adelaide Oval,
Thu 16 Apr 7:30pm,"Carlton
v 
Collingwood",MCG,
Fri 17 Apr 7:20pm,"Geelong
v 
Western Bulldogs",GMHBA Stadium,
Fri 17 Apr 7:50pm,"Sydney
v 
GWS",SCG,
Sat 18 Apr 1:15pm,"Gold Coast
v 
Essendon",People First Stadium,
Sat 18 Apr 4:15pm,"Hawthorn
v 
Port Adelaide",Marvel Stadium,
Sat 18 Apr 7:05pm,"Adelaide
v 
St Kilda",Adelaide Oval,
Sun 19 Apr 1:10pm,"North Melbourne
v 
Richmond",Marvel Stadium,
Sun 19 Apr 3:10pm,"West Coast
v 
Fremantle",Optus Stadium,
Sun 19 Apr 3:15pm,"Melbourne
v 
Brisbane",MCG,
Thu 23 Apr 7:30pm,"Western Bulldogs
v 
Sydney",Marvel Stadium,
Fri 24 Apr 7:40pm,"Richmond
v 
Melbourne",MCG,
Sat 25 Apr 12:15pm,"Hawthorn
v 
Gold Coast",UTAS Stadium,
Sat 25 Apr 3:15pm,"Essendon
v 
Collingwood",MCG,
Sat 25 Apr 6:05pm,"Port Adelaide
v 
Geelong",Adelaide Oval,
Sat 25 Apr 6:15pm,"Fremantle
v 
Carlton",Optus Stadium,
Sun 26 Apr 1:10pm,"St Kilda
v 
West Coast",Marvel Stadium,
Sun 26 Apr 3:15pm,"Brisbane
v 
Adelaide",Gabba,
Sun 26 Apr 4:40pm,"GWS
v 
North Melbourne",Manuka Oval,
Thu 30 Apr 7:30pm,"Collingwood
v 
Hawthorn",MCG,
Fri 1 May 7:30pm,"Western Bulldogs
v 
Fremantle",Marvel Stadium,
Fri 1 May 7:40pm,"Adelaide
v 
Port Adelaide",Adelaide Oval,
Sat 2 May 12:35pm,"Essendon
v 
Brisbane",Marvel Stadium,
